"player","eventType","outcome","x","y","endX","endY","isTouch","isProgPass"
"Willian Arão","Pass","Successful",37.3,40.2,44.8,48.6,TRUE,0
"Willian Arão","Pass","Successful",43.7,53.5,89.9,5.9,TRUE,1
"Willian Arão","Pass","Successful",45.2,65.9,47.2,85.2,TRUE,0
"Willian Arão","Pass","Successful",40.2,61.7,80,6.1,TRUE,1
"Willian Arão","Pass","Successful",76.9,17.5,92.7,19,TRUE,1
"Willian Arão","Pass","Successful",68.1,70.9,73.6,70.3,TRUE,0
"Willian Arão","Pass","Successful",63.7,33.7,67.2,51.4,TRUE,0
"Willian Arão","Pass","Successful",46.4,55.5,55.9,33.8,TRUE,0
"Willian Arão","Pass","Unsuccessful",65.6,25.3,66.4,20.3,TRUE,0
"Willian Arão","Pass","Successful",65.8,22.4,68.4,25.9,TRUE,0
"Willian Arão","Pass","Successful",59.4,22.6,45.4,25.4,TRUE,0
"Willian Arão","Pass","Successful",49.5,21.2,32.9,45.1,TRUE,0
"Willian Arão","Pass","Successful",55.2,66.3,61.9,71,TRUE,0
"Willian Arão","Pass","Unsuccessful",35.8,51.5,100,9.9,TRUE,1
"Willian Arão","Pass","Successful",29.4,58.1,31.9,15.4,TRUE,0
"Willian Arão","Pass","Successful",30.9,17.9,40.1,2.9,TRUE,0
"Willian Arão","Pass","Unsuccessful",92.3,36.3,96.3,49.1,TRUE,1
"Willian Arão","Pass","Successful",36.2,37.1,26.4,53,TRUE,0
"Willian Arão","Pass","Successful",69.5,70,68.7,3.1,TRUE,0
"Willian Arão","Pass","Unsuccessful",73.9,34.7,85.2,67.4,TRUE,1
"Willian Arão","Pass","Unsuccessful",50.1,25.3,44.2,48.4,TRUE,0
"Willian Arão","Pass","Successful",72.9,82.1,69.8,96.2,TRUE,0
"Willian Arão","Pass","Successful",60.9,39.5,68,24.6,TRUE,0
"Willian Arão","Pass","Successful",57.1,4.6,44.1,35.7,TRUE,0
"Willian Arão","Pass","Unsuccessful",28.1,28.5,36.4,30,TRUE,0
"Willian Arão","Pass","Successful",54.1,22.7,58.2,5.8,TRUE,0
"Willian Arão","Pass","Unsuccessful",43.2,79.9,47.1,87.2,TRUE,0
"Willian Arão","Pass","Successful",27.6,68.5,29.5,97.4,TRUE,0
"Willian Arão","Pass","Successful",70.2,12,80,3.5,TRUE,0
"Willian Arão","Pass","Successful",57.4,73.9,53.8,97.1,TRUE,0
"Willian Arão","Pass","Successful",37.4,35.1,28.9,80,TRUE,0
"Willian Arão","Pass","Successful",76.8,5.6,81.2,12.5,TRUE,0
"Willian Arão","Pass","Unsuccessful",45.9,21.6,55.9,33.6,TRUE,0
"Willian Arão","Pass","Unsuccessful",32.3,70.3,35.3,68.2,TRUE,0
